task,model,mode,items_scored,correct,groups_combined,seeds_combined,accuracy_pct
chord_progression_matching,AF3,COT,60,60,2,3,50
chord_progression_matching,AF3,SYSINST,60,60,2,3,50
chord_progression_matching,G25Flash,COT,60,29,2,3,48.33
chord_progression_matching,G25Flash,SYSINST,60,24,2,3,40
chord_progression_matching,G25Pro,COT,60,28,2,3,46.67
chord_progression_matching,G25Pro,SYSINST,60,40,2,3,66.67
chord_progression_matching,Qwen2.5-Omni,COT,60,30,2,3,50
chord_progression_matching,Qwen2.5-Omni,SYSINST,60,36,2,3,60
chord_quality,AF3,COT,60,30,2,3,50
chord_quality,AF3,SYSINST,60,39,2,3,65
chord_quality,G25Flash,COT,60,26,2,3,43.33
chord_quality,G25Flash,SYSINST,60,29,2,3,48.33
chord_quality,G25Pro,COT,60,34,2,3,56.67
chord_quality,G25Pro,SYSINST,60,35,2,3,58.33
chord_quality,Qwen2.5-Omni,COT,60,29,2,3,48.33
chord_quality,Qwen2.5-Omni,SYSINST,60,31,2,3,51.67
contour_identification,AF3,COT,60,15,2,3,25
contour_identification,AF3,SYSINST,60,15,2,3,25
contour_identification,G25Flash,COT,60,28,2,3,46.67
contour_identification,G25Flash,SYSINST,60,34,2,3,56.67
contour_identification,G25Pro,COT,60,58,2,3,96.67
contour_identification,G25Pro,SYSINST,60,58,2,3,96.67
contour_identification,Qwen2.5-Omni,COT,60,11,2,3,18.33
contour_identification,Qwen2.5-Omni,SYSINST,60,14,2,3,23.33
instrument_identification,AF3,COT,60,42,2,3,70
instrument_identification,AF3,SYSINST,60,48,2,3,80
instrument_identification,G25Flash,COT,60,55,2,3,91.67
instrument_identification,G25Flash,SYSINST,60,59,2,3,98.33
instrument_identification,G25Pro,COT,60,59,2,3,98.33
instrument_identification,G25Pro,SYSINST,60,59,2,3,98.33
instrument_identification,Qwen2.5-Omni,COT,60,59,2,3,98.33
instrument_identification,Qwen2.5-Omni,SYSINST,60,59,2,3,98.33
key_modulation,AF3,COT,60,30,2,3,50
key_modulation,AF3,SYSINST,60,36,2,3,60
key_modulation,G25Flash,COT,60,35,2,3,58.33
key_modulation,G25Flash,SYSINST,60,41,2,3,68.33
key_modulation,G25Pro,COT,60,49,2,3,81.67
key_modulation,G25Pro,SYSINST,60,53,2,3,88.33
key_modulation,Qwen2.5-Omni,COT,60,29,2,3,48.33
key_modulation,Qwen2.5-Omni,SYSINST,60,37,2,3,61.67
meter_identification,AF3,COT,60,24,2,3,40
meter_identification,AF3,SYSINST,60,24,2,3,40
meter_identification,G25Flash,COT,60,21,2,3,35
meter_identification,G25Flash,SYSINST,60,23,2,3,38.33
meter_identification,G25Pro,COT,60,30,2,3,50
meter_identification,G25Pro,SYSINST,60,28,2,3,46.67
meter_identification,Qwen2.5-Omni,COT,60,21,2,3,35
meter_identification,Qwen2.5-Omni,SYSINST,60,20,2,3,33.33
oddballs,AF3,COT,60,60,2,3,50
oddballs,AF3,SYSINST,60,60,2,3,50
oddballs,G25Flash,COT,60,51,2,3,85
oddballs,G25Flash,SYSINST,60,55,2,3,91.67
oddballs,G25Pro,COT,60,60,2,3,100
oddballs,G25Pro,SYSINST,60,60,2,3,100
oddballs,Qwen2.5-Omni,COT,60,42,2,3,70
oddballs,Qwen2.5-Omni,SYSINST,60,44,2,3,73.33
rhythm_matching,AF3,COT,60,0,2,3,50
rhythm_matching,AF3,SYSINST,60,0,2,3,50
rhythm_matching,G25Flash,COT,60,38,2,3,63.33
rhythm_matching,G25Flash,SYSINST,60,53,2,3,88.33
rhythm_matching,G25Pro,COT,60,53,2,3,88.33
rhythm_matching,G25Pro,SYSINST,60,58,2,3,96.67
rhythm_matching,Qwen2.5-Omni,COT,60,30,2,3,50
rhythm_matching,Qwen2.5-Omni,SYSINST,60,34,2,3,56.67
syncopation,AF3,COT,60,60,2,3,50
syncopation,AF3,SYSINST,60,60,2,3,50
syncopation,G25Flash,COT,60,26,2,3,43.33
syncopation,G25Flash,SYSINST,60,34,2,3,56.67
syncopation,G25Pro,COT,60,37,2,3,61.67
syncopation,G25Pro,SYSINST,59,41,2,3,69.49
syncopation,Qwen2.5-Omni,COT,60,30,2,3,50
syncopation,Qwen2.5-Omni,SYSINST,60,30,2,3,50
transposition,AF3,COT,60,0,2,3,50
transposition,AF3,SYSINST,60,0,2,3,50
transposition,G25Flash,COT,60,52,2,3,86.67
transposition,G25Flash,SYSINST,60,34,2,3,56.67
transposition,G25Pro,COT,60,59,2,3,98.33
transposition,G25Pro,SYSINST,59,48,2,3,81.36
transposition,Qwen2.5-Omni,COT,60,35,2,3,58.33
transposition,Qwen2.5-Omni,SYSINST,60,31,2,3,51.67
